維運組織,名稱,代號
台灣,新台幣,TWD
美國,美元,USD
中國大陸,元人民幣,CNY
菲律賓,菲律賓比索,PHP
日本,日圓,JPY
香港,港幣,HKD
馬來西亞,馬來西亞林吉特,MYR
比利時,比利時法郎,BEF
加拿大,加幣,CAD
法國,法國法郎,FRF
義大利,義大利里拉,ITL
德國,德國馬克,DEM
瑞士,瑞士法郎,CHF
瑞典,瑞典克郎,SEK
澳大利亞,澳幣,AUD
紐西蘭,紐西蘭幣,NZD
新加坡,新加坡幣,SGD
西班牙,西班牙比塞塔,ESP
丹麥,丹麥克郎,DKK
印度,印度盧比,INR
挪威,挪威克郎,NOK
荷蘭,荷蘭盾,NLG
芬蘭,芬蘭馬克,FIM
沙烏地阿拉伯,沙烏地里亞爾,SAR
泰國,銖,THB
印尼,印尼盧比,IDR
南非,蘭特,ZAR
奧地利,先令,ATS
英國,英鎊,GBP
愛爾蘭,愛爾蘭鎊,IEP
歐洲,歐元,EUR
澳門,澳門幣,MOP
墨西哥,墨西哥比索,MXN
波蘭,茲羅提,PLN
捷克,捷克克郎,CZK
土耳其,新土耳其里拉,TRY
匈牙利,富林特,HUF
越南,越南盾,VND
Bitcoin Core,比特幣,BTC
Ethereum Foundation,乙太幣,ETH